sample_id,article_group,view,mask_fraction,replicate,distance_threshold,rule,eligible_pairs,reference_close_pairs,accepted_pairs,contradictory_pairs,retained_reference_close_pairs,point_defined_pairs
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.2,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.2,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.3,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.3,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.3,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.3,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.4,reported_point,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.4,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.4,coverage_0.5,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.4,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.5,reported_point,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.5,interval_upper,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.5,coverage_0.5,119,2,2,0,2,119
e116-s21-prasad-2018,article:e116,experimental_protocol,0.0,0,0.5,coverage_0.75,119,2,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.0,0,0.1,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.0,0,0.1,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.0,0,0.1,coverage_0.5,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.0,0,0.1,coverage_0.75,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.0,0,0.2,reported_point,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.0,0,0.2,interval_upper,119,0,0,0,0,119
e116-s21-prasad-2018,article:e116,balanced_instance,0.0,0,0.2,coverage_0.5,119,0,0,0,0,119
